Character Name,Nationality,Ethnicity,Age,Born,Died,Eye color,Hair color,Skin color,Pronouns,Allies,Enemies,Weapon of choice,Profession,Position,Affiliation,First appearance,Last appearance,Voiced by
46th Earth King,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,White,Tan,He/him,"Royal Earthbender Guards, Earth Kingdom","Chinthe Conqueror, Chin's army,peasantsof Ba Sing Se",Earth,N/A,Earth King,Earth KingdomHou-Ting dynasty,Escape from the Spirit World(only appearance),N/A,N/A
Aang,Southern Air Temple,Air Nomad,112,12BG,Spring 100 AG(revived by Katara usingspirit water)153 AG,Gray,Dark brown,Light,He/him,"Team Avatar,Iroh,KingBumi,Gyatso,Hakoda,Kuzon,lion turtle, all Avatars, more ...","Azula,Ozai,Zhao,Combustion Man,Long Feng,Sozin,Yakone,Joo Dee, theDai Li, more ...",Air,Air Nomad culture teacherAirbending instructorAvatarMonk,Co-founder of theUnited Republic of NationsFully realized Avatar,Air AcolytesAir NomadsTeam Avatar,"""The Boy in the Iceberg""",I Am Toph,Zach Tyler Eisen(inAvatar: The Last Airbender)D. B. Sweeney(inThe Legend of Korra)Davis Pak(inQuest for Balance)Eric Nam(in upcomingAvatar Studios film)
Afiko,Southern Air Temple,Air Nomad,N/A,N/A,5AG,Gray,Brown,Light,He/him,N/A,"Aang, Air Nomads,Sozin,Fire Nation",Air,Monk,Airbending masterTraitor,Fire Nation,Avatar: The Last AirbenderTrading Card Game(only appearance),N/A,N/A
Aiko,"Republic City,United Republic",Republicans,N/A,N/A,N/A,Light brown,Black,Tan,She/her,N/A,N/A,Air,Stunt professional,Assistant toBreeze,Varrimovers International,Movers & Shakers(only appearance),N/A,N/A
Aiko (Jasmine Islander),Jasmine Island,"Fire Nation, Jasmine Islander",N/A,N/A,N/A,Brown,Black,Light,She/her,"Akataa, Basalt, Siku, Fu Meili,Lu Ten","Yueya,Zhao",Fire,Soldier,Jasmine Island protector,Jasmine Island protectors,Uncle Iroh's Adventure Guide(only appearance),N/A,N/A
Ailani,"Republic City,United Republic",Water Tribe,N/A,N/A,N/A,Blue,Brown,Brown,She/her,N/A,N/A,Water,Politician,Mayor of Republic City,N/A,Avatar Legends: The Roleplaying Game-Republic City(only appearance),N/A,N/A
Air Acolyte woman,"Republic City,United Republic",Republicans,N/A,N/A,N/A,Gray,White,Light,She/her,"Tenzinand his family,Air Acolytes,Order of the White Lotus,Team Avatar","Equalists,Earth Empire",N/A,Midwife,Civilian,Air AcolytesAir Temple Island,"""Turning the Tides""","""Day of the Colossus""",Maria Bamford
Air Nomad boy,Southern Air Temple,Air Nomad,N/A,N/A,0AG,Gray,Brown,Light,He/him,"Aang, Air Nomads",Fire Nation,Air,N/A,N/A,Air Nomads,"""The Storm""(flashback only)","""Appa's Lost Days""(flashback only)",Daniel Hansen
Air Nomad pilgrim,Southern Air Temple,Air Nomad,N/A,N/A,N/A,Dark gray,Black,Tan,She/her,Laghima,N/A,Air,N/A,PilgrimAuthor,Air Nomads,"""Wisdom""(only appearance)",N/A,N/A
Aiwei,"Zaofu,Earth Kingdom",Earth Kingdom,60,c. 111AG,N/A,Green,White,Tan,He/him,N/A,"Suyin Beifong,Lin Beifong,Team Avatar,Zaheer",Earth,Adviser of Suyin Beifong(formerly),Truth seerZaofu fugitive(formerly),Metal Clan(formerly)Red Lotus(formerly),"""The Metal Clan""","""The Stakeout""",Maurice LaMarche
